source,discovery_source,asset_name,image,status,detected_service,service_classification,attack_surface_classification,detection_method,endpoint,http_status,server_header,page_title,exposure_category,evidence,issue,recommendation,attack_path,mitre_atlas_tactic,mitre_atlas_technique,risk,risk_score
docker,docker_sdk,redis,redis:latest,running,Redis Vector DB,Vector Database,Vector Database Exposure,container_image_keyword,,,,,Vector Database Exposure,Container image matched AI service fingerprint: Redis Vector DB,"Exposed vector database may reveal embeddings, retrieval data, or application memory.",Bind Redis/vector databases to private networks and require authentication.,External discovery -> Vector Database Exposure -> Vector Database -> Collect AI Application Data,Collection,Collect AI Application Data,High,7
docker,docker_sdk,jupyter,jupyter/base-notebook:latest,running,Jupyter,AI Development Environment,Notebook Exposure,container_image_keyword,,,,,Exposed Notebook,Container image matched AI service fingerprint: Jupyter,Exposed notebook environment may allow code execution or data access.,Require strong authentication and avoid exposing notebooks to untrusted networks.,External discovery -> Exposed Notebook -> AI Development Environment -> Exploit Public-Facing AI Development Environment,Initial Access,Exploit Public-Facing AI Development Environment,Critical,10
docker,docker_sdk,ollama,ollama/ollama:latest,running,Ollama,LLM Runtime,AI Runtime Exposure,container_image_keyword,,,,,AI Runtime Exposure,Container image matched AI service fingerprint: Ollama,Exposed LLM runtime API may allow unauthorized model interaction.,Restrict runtime access to trusted hosts and require authentication.,External discovery -> AI Runtime Exposure -> LLM Runtime -> Discover AI Model Endpoints,Reconnaissance,Discover AI Model Endpoints,High,8
network,http_probe,localhost,,reachable,Ollama,LLM Runtime,AI Runtime Exposure,http_content_fingerprint,http://localhost:11434,200,,,AI Runtime Exposure,HTTP response matched AI fingerprint: Ollama,Exposed LLM runtime API may allow unauthorized model interaction.,Restrict runtime access to trusted hosts and require authentication.,External discovery -> AI Runtime Exposure -> LLM Runtime -> Discover AI Model Endpoints,Reconnaissance,Discover AI Model Endpoints,High,8
network,http_probe,localhost,,reachable,Jupyter,AI Development Environment,Notebook Exposure,http_content_fingerprint,http://localhost:8888,200,TornadoServer/6.3.3,Jupyter Server,Exposed Notebook,HTTP response matched AI fingerprint: Jupyter,Exposed notebook environment may allow code execution or data access.,Require strong authentication and avoid exposing notebooks to untrusted networks.,External discovery -> Exposed Notebook -> AI Development Environment -> Exploit Public-Facing AI Development Environment,Initial Access,Exploit Public-Facing AI Development Environment,Critical,10
